"brand_name","model_name","condition_name","grade_name","gb_spec_name","colour_name","network_name"
"AASTRA","6865I","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable"
"AASTRA","6865I","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable"
"AASTRA","6865I","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable"
"AASTRA","6865I","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable"
"ABOOK","1720W","Working","Grade B - Good Condition","4GB","Black","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable","Multicolour","Not Applicable"
